ID,Geography,Abbr.,unmarried_women_births,percent_uninsured,excerise,mean_income,median_age
1,Alabama,AL,41.8,12.1,49.8,62257,38.6
2,Alaska,AK,24.3,17.2,63.1,85771,33.3
4,Arizona,AZ,41,13.6,55.2,69113,36.9
5,Arkansas,AR,40,11.8,51.6,59615,37.8
6,California,CA,32.8,12.4,56.9,88997,36
8,Colorado,CO,32.5,10.3,62,81259,36.3
9,Connecticut,CT,33.9,6.9,52.9,102995,40.5
10,Delaware,DE,38.3,7.8,49.2,78794,39.6
11,District of Columbia,DC,48.5,5.3,52.8,110781,33.8
12,Florida,FL,41.2,16.6,52.3,67668,41.6
13,Georgia,GA,39.5,15.8,61.9,71005,36.1
15,Hawaii,HI,31.6,5.3,58.8,82593,38.1
16,Idaho,ID,24.5,13.6,51.1,63332,35.9
17,Illinois,IL,34.2,9.7,49.6,81920,37.5
18,Indiana,IN,40,11.9,51.5,65646,37.4
19,Iowa,IA,34.4,6.2,51.8,69835,38.2
20,Kansas,KS,32.1,10.2,47.5,71598,36.2
21,Kentucky,KY,35.5,8.5,50.5,61971,38.5
22,Louisiana,LA,45.9,14.8,54.9,67390,36.1
23,Maine,ME,42.7,10.1,50.9,66602,44.1
24,Maryland,MT,35.4,7.9,55.3,97764,38.3
25,Massachusetts,NE,29.6,3.3,51.5,100351,39.4
26,Michigan,NV,39.6,8.5,54.8,69002,39.6
27,Minnesota,NH,28.2,5.9,51.8,83945,37.8
28,Mississippi,NJ,46.8,14.5,53,58864,36.7
29,Missouri,NM,38.3,11.7,57,67297,38.5
30,Montana,NY,27,14.2,55,61118,39.6
31,Nebraska,NC,27.6,9.7,52.1,68616,36.2
32,Nevada,ND,37.8,15.2,56.9,66266,37.4
33,New Hampshire,OH,32.2,9.2,50.3,86758,42.5
34,New Jersey,OK,31.2,10.9,60.8,102796,39.4
35,New Mexico,OR,42,14.5,50.8,61564,37.2
36,New York,MD,34,8.7,53,91451,38.2
37,North Carolina,MA,37.4,13.1,52.7,66054,38.3
38,North Dakota,MI,27.3,7.9,49.7,78667,35.1
39,Ohio,MN,42.7,8.4,53.2,68662,39.4
40,Oklahoma,MS,38.1,15.4,56.5,65189,36.2
41,Oregon,MO,35.5,9.7,51.3,68643,39.3
42,Pennsylvania,PA,37.5,8.5,49.7,76368,40.7
44,Rhode Island,RI,47,7.4,52.1,79231,39.8
45,South Carolina,SC,45.5,13.6,51.8,62285,38.8
46,South Dakota,SD,31.3,9.8,52.4,65637,36.6
47,Tennessee,TN,40,12,54,64540,38.6
48,Texas,TX,36,19.1,55.5,76301,34.3
49,Utah,UT,15.2,12.5,64.4,76295,30.5
50,Vermont,VT,29.8,5,54.1,69364,42.8
51,Virginia,VA,28.8,10.9,55.6,88705,37.7
53,Washington,WA,29.4,9.2,51,82430,37.5
54,West Virginia,WV,40.1,8.6,54.2,58701,41.9
55,Wisconsin,WI,32.5,7.3,59.5,69998,39.2
56,Wyoming,WY,25.8,12,53.4,70910,36.6
72,Puerto Rico,PR,58.7,6.1,53.9,36704,36.4
